PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SessionId
1,2025-12-17,10:22:07,"Wolfley, Wes",1000446312,Right,NA,NA,Fastball,Live,NA,80.5055,-1.467184184,-1.011359741,2118.067879,197.2359561,12:30:00,6.28802,0.4749,4.6792,-25.23834,20.5939,6.3989,2.7912,0.04774,72.2005,-6.141995622,0.1796423774,0.4872557264,-3.66487,11.19169,-0.37768,50,6.11717,1.83781,-116.72186,-3.8685,-4.95328,26.12986,-17.04785,fefd5215-21e8-4f8c-9765-48e7002f53c4,ad3ebe53-ff7e-4d95-a9a5-7ae88f638b28,77.35658,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7ba4039b-2075-42d2-9550-418f51135497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75769e4c-d31b-48fa-a1bc-a320ecea99b0
2,2025-12-17,10:22:39,"Wolfley, Wes",1000446312,Right,NA,NA,Fastball,Live,NA,81.88899,-1.826162463,-2.159161863,2167.872523,197.9187035,12:30:00,6.41185,0.50045,4.5709,-21.36558,22.90033,7.41542,2.89215,-0.93679,73.82178,-5.763561146,-0.7872712307,0.4788572792,-4.51506,12.40769,-0.28361,50,6.20355,4.20703,-118.68727,-4.55831,-6.35374,25.56747,-14.71351,95ebb1c6-1ce3-45a8-9003-873cda8ead5d,ad3ebe53-ff7e-4d95-a9a5-7ae88f638b28,78.7133,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.08194309,2072.238203,0.9558856349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dde907e7-948b-4446-9ad3-7d42c3839996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75769e4c-d31b-48fa-a1bc-a320ecea99b0
3,2025-12-17,10:22:50,"Wolfley, Wes",1000446312,Right,NA,NA,Fastball,Live,NA,81.4676,-2.763274211,-0.281824285,2153.52312,201.3903545,12:45:00,6.29427,0.70471,NA,-28.19589,17.83128,6.99087,1.27087,1.01481,74.03373,-7.841940022,0.989260692,0.4882908329,-3.58203,9.75392,-0.67926,50,5.93298,0.29964,-117.95845,-6.82503,-5.00559,24.15383,-18.54376,f1d0f3d8-9c63-4a28-aacf-253eeb9a8000,ad3ebe53-ff7e-4d95-a9a5-7ae88f638b28,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.10325331,1863.062259,0.8651229429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2aaea578-93f1-4399-ad52-5f8f4c88782b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75769e4c-d31b-48fa-a1bc-a320ecea99b0
4,2025-12-17,10:23:12,"Wolfley, Wes",1000446312,Right,NA,NA,Fastball,Live,NA,82.15858,0.3125455805,-1.575823804,2091.904016,232.3051593,01:45:00,6.25913,0.58219,4.84634,-31.0022,12.41658,16.12402,3.97158,0.43382,74.17593,-5.434970827,1.422173411,0.4742531068,-8.90457,6.37554,-0.43998,50,6.26442,2.71681,-119.24012,-0.43279,-12.65487,25.68872,-23.11334,1be00d4f-2500-4bf4-ac3d-d83dd95eb35f,ad3ebe53-ff7e-4d95-a9a5-7ae88f638b28,79.47747,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.00756617,1863.774697,0.8909465649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7659d9c9-ed2d-4319-9bea-8a83167a1bf1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75769e4c-d31b-48fa-a1bc-a320ecea99b0
5,2025-12-17,10:23:53,"Wolfley, Wes",1000446312,Right,NA,NA,Fastball,Live,NA,79.64154,-0.7237847524,0.03747953691,2185.620116,201.6829289,12:45:00,6.46611,0.51974,NA,-29.66637,19.78452,7.88218,3.29201,1.21294,70.48815,-6.145348235,1.484455682,0.5061257535,-3.93342,10.1779,-0.53359,50,6.34303,-0.38387,-115.12853,-2.61575,-5.11021,27.7484,-18.95117,6d5536d3-6265-4774-9c71-8d3c6312b16b,ad3ebe53-ff7e-4d95-a9a5-7ae88f638b28,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.08604082,1766.272633,0.8081334079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96094815-8068-4f76-aabc-2d8529622ade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75769e4c-d31b-48fa-a1bc-a320ecea99b0
6,2025-12-17,10:24:06,"Wolfley, Wes",1000446312,Right,NA,NA,Fastball,Live,NA,80.81603,NA,NA,2177.199497,NA,NA,6.37871,0.53719,4.70905,NA,NA,NA,0.39558,-0.82159,71.0913,NA,NA,0.4915064469,-11.38252,21.05616,-0.23619,50,5.82451,5.71648,-116.38214,-11.31754,-15.0369,29.3254,-4.35777,a39caf32-c06c-4ce3-83ff-06aff2be1ea7,ad3ebe53-ff7e-4d95-a9a5-7ae88f638b28,76.68758,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.83936903,1808.386326,0.8306020317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21e8eebf-7a25-4b55-9624-afc4c32f87c6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75769e4c-d31b-48fa-a1bc-a320ecea99b0
7,2025-12-17,10:24:46,"Wolfley, Wes",1000446312,Right,NA,NA,Slider,Live,NA,73.68502,0.6664884433,-2.703909746,2262.3378,21.81464179,06:45:00,5.85272,1.32907,4.47966,-61.05918,-6.68901,-2.66261,1.40035,-1.47153,67.9285,-10.43006083,-3.192339887,0.5307032602,0.5863,-3.62755,-1.04234,50,5.86609,5.13573,-106.87565,-0.78012,0.67563,19.05678,-36.35426,37bb750b-f1ec-490c-9ac5-89c09f4aa41e,ad3ebe53-ff7e-4d95-a9a5-7ae88f638b28,71.02357,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.16954805,540.8108758,0.2390495689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10ea7d7a-b965-4ed9-90dd-47033082bbfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75769e4c-d31b-48fa-a1bc-a320ecea99b0
8,2025-12-17,10:25:01,"Wolfley, Wes",1000446312,Right,NA,NA,Slider,Live,NA,74.33363,-0.9126891001,-2.743712929,NA,NA,NA,5.98425,0.9998,4.64195,-53.99463,-0.75106,-2.59344,0.61644,-1.82528,68.42196,-10.74262688,-3.221464364,0.5251761182,0.52509,-0.11684,-0.71684,50,5.84318,5.25127,-107.80848,-3.48317,0.61393,19.89082,-32.31066,669dc793-fc98-4f42-8a13-946353eaa911,ad3ebe53-ff7e-4d95-a9a5-7ae88f638b28,71.77105,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61fec33d-be4f-450e-ab1f-5c881b1d1309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75769e4c-d31b-48fa-a1bc-a320ecea99b0
9,2025-12-17,10:25:18,"Wolfley, Wes",1000446312,Right,NA,NA,Slider,Live,NA,74.42473,1.843869672,-1.1722812439999999,2169.938868,82.0367566,08:45:00,5.91869,1.0721,4.50926,-54.39993,-1.09585,-7.54928,3.14257,-0.67373,67.99725,-8.115302093,-2.561674932,0.5254744854,3.5366,-1.10913,-0.9426,50,6.06154,2.46107,-107.97976,1.66477,4.14995,19.87716,-33.47553,2fba0a70-aaa4-4280-a64a-a2dc88353b65,ad3ebe53-ff7e-4d95-a9a5-7ae88f638b28,71.73029,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.54386061,504.9468026,0.2327009346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df826e36-f858-4fcb-931a-09d892e5093f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75769e4c-d31b-48fa-a1bc-a320ecea99b0
10,2025-12-17,10:26:21,"Wolfley, Wes",1000446312,Right,NA,NA,Slider,Live,NA,74.25799,-1.109483802,-4.061419639,2180.550053,175.2906811,11:45:00,5.98593,1.24704,4.2488,-41.2284,13.18899,-1.09289,1.48563,-2.73742,67.72045,-8.594890255,-4.261071016,0.5309336772,-0.67492,7.06453,-0.80219,50,5.8238,7.66704,-107.45383,-3.49641,-0.7823,20.11813,-23.98551,0139f163-41c6-4b88-b949-3bb60bad0344,ad3ebe53-ff7e-4d95-a9a5-7ae88f638b28,70.99274,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92b344d5-8320-41db-bf97-dfe9ed21de57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75769e4c-d31b-48fa-a1bc-a320ecea99b0
