PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-09-22,12:50:42,"Smith, Matt",1000442063,Right,NA,NA,Fastball,Live,NA,84.31859,-0.3559783517,-0.8123002108,2210.344963,205.0938665,12:45:00,6.34089,1.75539,5.76764,-20.58677,19.36208,9.0833,4.29404,1.75642,75.72518,-4.249923072,0.9093217679,0.4549079954,-5.16894,10.56191,-1.69371,50,6.29925,1.45658,-122.56178,-1.39874,-7.71783,28.37535,-16.40388,660ff008-bb4a-4d30-88df-45187eeedc95,b95cff75-bd29-4c44-a2f4-87da86fe794a,82.85728,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-09-22,12:51:10,"Smith, Matt",1000442063,Right,NA,NA,Fastball,Live,NA,82.56298,-2.411850193,-3.88349351,2043.244818,212.5912583,01:00:00,6.21322,1.99685,NA,-28.48934,15.45321,9.89877,1.52334,-0.90197,75.18905,-7.588998808,-2.074872401,0.4771050706,-6.17498,8.57418,-1.58104,50,5.92003,7.73033,-119.45186,-6.1322,-8.87936,24.03578,-19.84474,b67191e3-4589-457c-87d1-982397f07de6,b95cff75-bd29-4c44-a2f4-87da86fe794a,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-09-22,12:51:31,"Smith, Matt",1000442063,Right,NA,NA,Fastball,Live,NA,83.07262,-2.366228873,-3.82090528,2111.737634,202.5954317,12:45:00,6.27166,1.49329,6.15197,-22.2036,18.46559,7.7006,2.22932,-1.4,74.99067,-6.569688785,-2.35773144,0.4589909517,-5.44363,10.85678,-1.20692,50,6.08031,7.82908,-120.50286,-5.62161,-7.8809,26.78431,-16.45638,392582e6-da80-4512-9481-348f72ff5793,b95cff75-bd29-4c44-a2f4-87da86fe794a,82.12022,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.44773309,1965.503001,0.9307515141,NA
4,2025-09-22,12:51:59,"Smith, Matt",1000442063,Right,NA,NA,Fastball,Live,NA,82.97014,-0.8938083392,-3.263772202,2011.47247,199.6305988,12:45:00,6.20892,1.47628,NA,-27.12907,16.05302,5.74553,3.09223,-1.16845,75.54902,-5.843514104,-2.213019426,0.4729587366,-3.86793,8.44902,-1.12885,50,6.08566,6.63801,-120.25009,-2.91448,-5.64696,23.95584,-19.83894,ff3672a6-7fea-400d-a427-05a590720756,b95cff75-bd29-4c44-a2f4-87da86fe794a,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.275316,1972.649009,0.9806989845,NA
5,2025-09-22,12:52:35,"Smith, Matt",1000442063,Right,NA,NA,ChangeUp,Live,NA,78.871,0.46419759,-1.803687538,1823.508573,250.8028749,02:15:00,5.89519,2.0429,6.47746,-39.20385,5.34418,15.47407,3.05462,1.67585,71.04691,-7.035734721,1.170556842,0.48038083,-9.18153,2.80079,-1.92308,50,5.91053,3.22266,-114.72797,-0.05861,-11.97697,25.43905,-28.52052,df6ae66a-02a1-4127-bc50-aaef322a9c3e,b95cff75-bd29-4c44-a2f4-87da86fe794a,78.46366,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.15854766,1393.639776,0.7642628043,NA
6,2025-09-22,12:53:07,"Smith, Matt",1000442063,Right,NA,NA,ChangeUp,Live,NA,78.82453,0.2901609096,-2.872526833,1736.286764,260.359951,02:45:00,5.78931,2.17095,NA,-44.59909,2.59755,15.567,2.34764,0.74775,71.48601,-7.952984971,0.02037121814,0.4944552273,-9.02389,1.26388,-1.90103,50,5.78132,5.21534,-114.3095,-0.91126,-11.79174,23.51035,-30.5225,c77d4e8c-8aa4-4fd5-81dc-c22d5f7e2860,b95cff75-bd29-4c44-a2f4-87da86fe794a,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-09-22,12:53:41,"Smith, Matt",1000442063,Right,NA,NA,ChangeUp,Live,NA,78.57759,-1.230882232,-2.367673422,1867.738657,230.615447,01:45:00,5.71182,2.31413,NA,-36.30123,10.03819,12.26887,1.54023,1.13217,70.59375,-8.080236722,-0.03628845078,0.4899442951,-7.45598,5.8535,-2.12581,50,5.58862,4.3644,-114.05932,-3.49324,-9.58283,25.74286,-24.65082,e13c0f59-1c74-480e-a6b7-fece319865c1,b95cff75-bd29-4c44-a2f4-87da86fe794a,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.36334565,1114.551278,0.5967383467,NA
8,2025-09-22,12:54:00,"Smith, Matt",1000442063,Right,NA,NA,Fastball,Live,NA,84.2635,-2.871347643,-1.916295485,2060.901561,209.010237,01:00:00,6.28556,1.60924,5.82246,-25.49241,14.45618,8.02199,1.48839,0.49577,76.22333,-7.659187967,-0.3971040677,0.4549065001,-4.95233,8.73714,-1.45746,50,6.03601,3.84632,-122.31032,-6.91969,-7.38518,27.62785,-19.14475,c2e3a7c7-122c-445f-925d-69e9c55bdd87,b95cff75-bd29-4c44-a2f4-87da86fe794a,82.85755,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.14453777,1934.829682,0.9388268311,NA
9,2025-09-22,12:54:27,"Smith, Matt",1000442063,Right,NA,NA,Curveball,Live,NA,74.50495,3.422035052,0.3756573715,2293.371956,49.08071533,07:45:00,5.87265,1.77675,NA,-64.68711,-9.35298,-10.71304,3.79119,1.24683,67.31193,-8.327386018,-1.580804665,0.5353871948,5.50072,-5.79947,-1.80895,50,6.20357,-0.31832,-107.74626,4.09946,6.36908,21.35017,-38.88904,409d29e9-80ba-4503-9a4d-772555e90500,b95cff75-bd29-4c44-a2f4-87da86fe794a,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.88191627,1319.29306,0.5752634483,NA
10,2025-09-22,12:54:47,"Smith, Matt",1000442063,Right,NA,NA,Curveball,Live,NA,74.29669,0.3690341373,-1.448366129,2402.601658,58.86994669,08:00:00,6.06904,1.81627,5.98349,-59.47344,-8.09527,-13.34041,1.4550399999999999,-0.63798,67.44358,-10.83186154,-3.990039062,0.5158943101,6.75232,-4.53855,-1.69487,50,6.06585,3.07754,-107.96179,-0.85504,7.76532,23.28392,-37.39349,94430fb3-9d72-43f5-823a-4e38eeeef236,b95cff75-bd29-4c44-a2f4-87da86fe794a,73.06233,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.74154142,1520.413529,0.6328196454,NA
