PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2025-10-29,10:03:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3452f18c-45db-4d31-85a3-bf476b058022,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,33.104356,1000444244,"Chipman, Jay",1660.987104,LineDrive,39.23975,Right,12.42916777,NA,NA,NA,59.47328,14.58204,1.1367047,30.63037916,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
2,2025-10-29,10:03:07,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a466ee56-e925-46f5-b56d-fcfd34e1639a,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,18.35591288,1000444244,"Chipman, Jay",1544.548437,GroundBall,40.17548,Right,-11.80343528,NA,NA,NA,13.85414,13.77593,0.2065364606,19.71667005,1.94269,3.19386,0.87446,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
3,2025-10-29,10:03:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658aec91-7367-4944-ba92-f65de03f6768,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,42.81927166,1000444244,"Chipman, Jay",2446.635677,LineDrive,44.04051,Right,15.34394282,NA,NA,NA,81.04072,12.14012,1.385118056,43.20660975,2.36683,3.15457,0.69284,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
4,2025-10-29,10:03:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a9be3f71-6363-49f1-aaf5-4fe59172a7d7,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,14.82384215,1000444244,"Chipman, Jay",231.7175643,GroundBall,53.1049,Right,3.909441549,NA,NA,NA,53.89264,31.6085,0.6947201621,15.397957,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
5,2025-10-29,10:03:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d9e02342-1155-4892-ba4c-0842d789a7b2,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,8.391771256,1000444244,"Chipman, Jay",658.9076634,LineDrive,78.74686,Right,11.93517742,NA,NA,NA,147.04944,45.30166,1.455459535,9.835940573,2.40887,2.62801,0.87785,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
6,2025-10-29,10:03:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667a0041-9a02-4c29-882b-f62a4bb375a3,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,24.77387376,1000444244,"Chipman, Jay",3304.208393,FlyBall,70.46869,Right,25.72530885,NA,NA,NA,230.48573,16.42103,3.484351809,19.57071942,2.19696,2.45268,1.26433,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
7,2025-10-29,10:04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cc14b7e9-2dcb-42ec-b0ce-562570ed677b,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,16.88665652,1000444244,"Chipman, Jay",2013.254842,LineDrive,83.12986,Right,21.07294159,NA,NA,NA,251.98337,20.83531,3.137137326,28.12781016,1.92801,3.10784,0.5184,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
8,2025-10-29,10:04:07,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37e3543e-023c-4062-a0bc-621f8343dca2,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,27.0899595,1000444244,"Chipman, Jay",2755.91671,FlyBall,76.1438,Right,27.60102334,NA,NA,NA,262.40485,16.4879,4.067867322,30.55236689,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
9,2025-10-29,10:04:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b37a5576-c0d1-4135-8f88-75d0e17b6eef,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,6.958359166,1000444244,"Chipman, Jay",1229.652867,LineDrive,79.44898,Right,22.92768525,NA,NA,NA,230.20528,21.92654,2.711990966,15.02541059,2.7953,2.92451,1.01901,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
10,2025-10-29,10:04:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f3d98814-09c4-462a-bc5e-689a6c094ffa,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,31.02060585,1000444244,"Chipman, Jay",6051.234744,FlyBall,72.29016,Right,30.51712255,NA,NA,NA,239.53405,13.11162,3.834101575,39.12253025,1.72423,3.21395,0.35031,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
11,2025-10-29,10:04:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531dd386-ecf6-41b0-86a3-bf64ca5c1930,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,18.22725651,1000444244,"Chipman, Jay",2277.2842,LineDrive,82.88735,Right,23.99254702,NA,NA,NA,253.77182,18.93358,3.049457401,27.97740646,1.92539,3.44555,0.54335,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
12,2025-10-29,10:04:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e845bb0d-1788-40b9-b1de-d9a284ac305e,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,15.85641183,1000444244,"Chipman, Jay",1109.209183,LineDrive,85.03959,Right,19.94154338,NA,NA,NA,288.21122,24.04119,3.859959498,21.44179635,2.28137,2.7488,0.93549,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
