PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-01,13:03:04,1,1,"Blomquist, Dylan",1000083765,Left,UNI_TEX,"Lewis, Kyle",1000379439,Right,LUB_CHR,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,75.45642,0.225054,0.072887,2171.694861,270.238073,03:00:00,5.96357,-2.4367,5.31382,-49.28318,1.79646,20.14296,2.06789,-0.6897,68.29038,-8.787874,3.655037,0.514393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.9828,1.4315,2.41529,50,5.94894,-0.93512,-109.34187,-1.19362,-11.83866,22.9515,-30.47641,UNI_TEX,LUB_CHR,IrwinField,D2,LS,20260201-IrwinField-1,a3659880-ffa0-11f0-b4a5-c7300855c88a,73.27554,NA,NA,7.16604,NA,NA,NA,NA,NA,NA,6ab2660b-b41a-46ed-b290-cd7db0dc5268,2026-02-01,19:03:04,2026-02-01T19:03:04Z,2026-02-01T19:03:04Z,NA,v3,NA,NA,NA,"Ketzner, Cole",1000138406,Right,UNI_TEX,5e5a23d9-e619-4de7-85a4-75f131c6fbae,55.18554,-110.42498,11.47575,5.97134,0.2446,-15.23821,2.44624,-0.37644,-5.91933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2026-02-01,13:03:19,1,2,"Blomquist, Dylan",1000083765,Left,UNI_TEX,"Lewis, Kyle",1000379439,Right,LUB_CHR,Undefined,1,Top,0,0,1,Fastball,Changeup,InPlay,Undefined,Bunt,Single,0,0,NA,86.2375,-1.790618,3.841177,1815.463816,119.888347,10:00:00,5.9569,-2.2532,5.69465,-26.36891,12.16745,-18.69934,2.08638,-0.22624,77.80816,-6.720847,0.503538,0.446793,15.93677,-18.544095,0.289238,NA,NA,NA,NA,8.46609,2.82215,-2.63999,0.275861,10.79099,7.1615,1.94212,50,5.78983,-7.59768,-124.78177,-4.76833,16.75266,28.70506,-21.05602,UNI_TEX,LUB_CHR,IrwinField,D2,LS,20260201-IrwinField-1,ac2ebdc0-ffa0-11f0-b4a5-c7300855c88a,84.36213,2.17244,NA,8.42934,NA,NA,NA,1.98102,2.17244,-0.42264,6ab2660b-b41a-46ed-b290-cd7db0dc5268,2026-02-01,19:03:19,2026-02-01T19:03:19Z,2026-02-01T19:03:19Z,GroundBall,v3,NA,NA,NA,"Ketzner, Cole",1000138406,Right,UNI_TEX,fc6e3b7a-406d-429f-a8a4-324ac018a436,54.80637,-125.88258,14.35253,5.9572,-3.96085,-10.52801,2.2458,-8.24013,8.37633,180,1.92261,23.47591,NA,NA,NA,NA,NA,NA,NA,2.19203,-7.87512,NA,NA,NA,NA,NA,NA,NA,-0.42294,0.11851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
3,2026-02-01,13:03:56,2,1,"Blomquist, Dylan",1000083765,Left,UNI_TEX,"Grace, Hudson",10290611,Left,LUB_CHR,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,75.43416,-0.137265,-0.602601,2291.629909,277.824067,03:15:00,5.99391,-2.3238,5.55644,-50.64889,-0.57925,16.39414,1.64491,-1.5207,69.08609,-9.388725,2.328883,0.509282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.44008,0.28933,2.36498,50,5.94892,0.53301,-109.49956,-1.88763,-10.15384,20.98212,-31.82596,UNI_TEX,LUB_CHR,IrwinField,D2,LS,20260201-IrwinField-1,c24bc080-ffa0-11f0-b4a5-c7300855c88a,74.01089,NA,NA,6.34806,NA,NA,NA,NA,NA,NA,6ab2660b-b41a-46ed-b290-cd7db0dc5268,2026-02-01,19:03:56,2026-02-01T19:03:56Z,2026-02-01T19:03:56Z,NA,v3,NA,NA,NA,"Ketzner, Cole",1000138406,Right,UNI_TEX,c9023090-d0b7-425d-9363-82a86aa0e283,54.9453,-110.4431,10.49106,6.00162,-0.45645,-15.91298,2.33075,0.98961,-5.07692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2026-02-01,13:05:15,2,2,"Blomquist, Dylan",1000083765,Left,UNI_TEX,"Grace, Hudson",10290611,Left,LUB_CHR,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,1,0,NA,86.71901,-1.798338,4.412218,1806.192542,127.67216,10:15:00,6.09122,-2.31055,5.4844,-23.67804,14.7782,-17.2978,2.4299,0.38439,78.16112,-6.234529,1.341841,0.446329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.04516,8.4167,1.9347,50,5.91733,-8.89847,-125.30353,-4.72216,15.75435,28.51914,-18.97368,UNI_TEX,LUB_CHR,IrwinField,D2,LS,20260201-IrwinField-1,f1433850-ffa0-11f0-b4a5-c7300855c88a,84.44995,NA,NA,8.55789,NA,NA,NA,NA,NA,NA,6ab2660b-b41a-46ed-b290-cd7db0dc5268,2026-02-01,19:05:15,2026-02-01T19:05:15Z,2026-02-01T19:05:15Z,NA,v3,NA,NA,NA,"Ketzner, Cole",1000138406,Right,UNI_TEX,38e9d3d9-7e29-4a6d-96f8-7022cdfd9677,55.01397,-126.43956,14.25957,6.09038,-3.96636,-9.48684,2.30166,-9.52603,7.87718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2026-02-01,13:05:28,2,3,"Blomquist, Dylan",1000083765,Left,UNI_TEX,"Grace, Hudson",10290611,Left,LUB_CHR,Undefined,1,Top,1,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.70777,-1.947107,4.836259,1833.973898,125.517839,10:15:00,6.04777,-2.27455,5.57297,-23.12363,14.45083,-18.26639,2.29482,0.73153,78.89983,-6.29007,1.591324,0.441182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.68942,8.32493,1.86879,50,5.86456,-9.89435,-126.64224,-5.07412,17.09812,29.50359,-18.85801,UNI_TEX,LUB_CHR,IrwinField,D2,LS,20260201-IrwinField-1,f8e9af80-ffa0-11f0-b4a5-c7300855c88a,85.4351,NA,NA,8.80794,NA,NA,NA,NA,NA,NA,6ab2660b-b41a-46ed-b290-cd7db0dc5268,2026-02-01,19:05:28,2026-02-01T19:05:28Z,2026-02-01T19:05:28Z,NA,v3,NA,NA,NA,"Ketzner, Cole",1000138406,Right,UNI_TEX,cc76ce1e-cb5c-44e7-8034-cdd567270796,54.92494,-127.78444,14.7518,6.04687,-4.34405,-9.429,2.26465,-10.55629,8.54906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2026-02-01,13:05:41,2,4,"Blomquist, Dylan",1000083765,Left,UNI_TEX,"Grace, Hudson",10290611,Left,LUB_CHR,Undefined,1,Top,1,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,78.38883,-0.733043,2.300385,2298.206134,277.627403,03:15:00,5.99508,-2.35724,5.49488,-45.88514,0.41748,7.79016,1.48499,0.445,72.17025,-9.081595,3.688873,0.48975,87.65801,6.56163,17.359545,1804.640675,NA,NA,NA,94.24752,92.70393,19.183142,0.795377,-3.30185,0.80512,2.15028,50,5.89958,-4.86538,-113.74664,-2.97542,-4.31018,21.57023,-31.12303,UNI_TEX,LUB_CHR,IrwinField,D2,LS,20260201-IrwinField-1,00e79580-ffa1-11f0-b4a5-c7300855c88a,76.96267,4.01434,NA,6.21858,NA,NA,NA,1.70408,1.5596,-0.43639,6ab2660b-b41a-46ed-b290-cd7db0dc5268,2026-02-01,19:05:41,2026-02-01T19:05:41Z,2026-02-01T19:05:41Z,GroundBall,v3,NA,NA,NA,"Ketzner, Cole",1000138406,Right,UNI_TEX,232cc9fe-fd54-44dc-89dc-1f6766f12c77,55.00806,-114.69241,10.78512,6.00012,-1.61081,-15.56152,2.35947,-4.67639,-2.15509,301.94616,1.70408,121.90511,-16.32308,1.57563,-0.32529,0.04611,-0.00623,0.00159,-2.7e-4,1.5596,14.69135,-22.81483,2.7054,-0.51725,0.12356,-0.02326,0.00413,-5.3e-4,-0.43639,38.10824,2.47708,-1.09595,0.24038,-0.0631,0.01333,-0.00252,3.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2026-02-01,13:06:13,3,1,"Blomquist, Dylan",1000083765,Left,UNI_TEX,"Mauldin, Carlos",1000141140,Right,LUB_CHR,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.88488,-1.005827,2.649895,1391.191067,97.232388,09:15:00,6.0115,-2.38061,5.82064,-38.73041,3.71843,-17.17245,1.84767,-1.3461,74.14844,-8.166856,-0.430734,0.468926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.54134,2.72508,2.17345,50,5.90664,-4.7961,-118.66,-3.35993,13.38941,26.04299,-28.34993,UNI_TEX,LUB_CHR,IrwinField,D2,LS,20260201-IrwinField-1,14206410-ffa1-11f0-b4a5-c7300855c88a,80.38035,NA,NA,7.73644,NA,NA,NA,NA,NA,NA,6ab2660b-b41a-46ed-b290-cd7db0dc5268,2026-02-01,19:06:13,2026-02-01T19:06:13Z,2026-02-01T19:06:13Z,NA,v3,NA,NA,NA,"Ketzner, Cole",1000138406,Right,UNI_TEX,ae70de87-d895-421b-983f-769f5a884251,54.67858,-119.68243,13.0215,6.0167,-2.24693,-14.17497,2.37206,-5.32176,6.69471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2026-02-01,13:06:27,3,2,"Blomquist, Dylan",1000083765,Left,UNI_TEX,"Mauldin, Carlos",1000141140,Right,LUB_CHR,Undefined,1,Top,2,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.07243,-1.039059,2.217252,1843.210251,130.610082,10:15:00,6.03003,-2.31176,5.56928,-20.14903,16.81737,-18.05678,3.37947,-1.7442,79.40554,-4.85353,-1.002602,0.437598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.73682,9.19272,2.13226,50,5.92746,-4.12722,-127.60266,-2.94587,15.84006,29.51817,-17.21915,UNI_TEX,LUB_CHR,IrwinField,D2,LS,20260201-IrwinField-1,1c80b560-ffa1-11f0-b4a5-c7300855c88a,86.13494,NA,NA,8.66689,NA,NA,NA,NA,NA,NA,6ab2660b-b41a-46ed-b290-cd7db0dc5268,2026-02-01,19:06:27,2026-02-01T19:06:27Z,2026-02-01T19:06:27Z,NA,v3,NA,NA,NA,"Ketzner, Cole",1000138406,Right,UNI_TEX,e8ccb808-e734-4c28-94e2-674d7b18ddc0,54.92884,-128.7378,14.75909,6.02802,-2.2837,-8.60957,2.30269,-4.73636,7.92003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2026-02-01,13:06:43,3,3,"Blomquist, Dylan",1000083765,Left,UNI_TEX,"Mauldin, Carlos",1000141140,Right,LUB_CHR,Undefined,1,Top,2,2,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,NA,88.91146,-2.645769,4.101434,1941.588633,131.439015,10:30:00,6.03656,-2.23488,5.61387,-19.77914,16.74832,-17.39513,1.91069,0.15027,79.90261,-6.392135,1.004441,0.434992,91.27763,23.384034,9.402423,NA,107.3413,40.36668,24.03701,331.59944,327.49068,18.58477,3.937798,10.1763,9.75004,1.8955,50,5.79744,-8.44737,-128.46392,-6.57145,16.70528,30.99653,-16.16851,UNI_TEX,LUB_CHR,IrwinField,D2,LS,20260201-IrwinField-1,25ee09e0-ffa1-11f0-b4a5-c7300855c88a,86.65093,49.91033,NA,9.00885,NA,NA,NA,1.03713,1.8784,-0.15049,6ab2660b-b41a-46ed-b290-cd7db0dc5268,2026-02-01,19:06:43,2026-02-01T19:06:43Z,2026-02-01T19:06:43Z,LineDrive,v3,NA,NA,NA,"Ketzner, Cole",1000138406,Right,UNI_TEX,38beea14-716f-4908-812d-d561eeba2b50,54.88592,-129.63746,15.49826,6.03465,-5.9593,-8.08426,2.22729,-9.07984,8.35264,221.906904,1.0367,121.24101,-20.37368,4.70079,-1.09767,0.27567,-0.06474,0.01003,-6.6e-4,1.87919,53.10904,-15.25035,-0.06477,0.4554,-0.23161,0.0685,-0.01027,6e-4,-0.15047,20.072,5.2635,-2.10848,0.61724,-0.14442,0.0267,-0.00323,1.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2026-02-01,13:09:30,1,1,"Dunn, Karson",1000285789,Right,LUB_CHR,"Clark, Connor",10101384,Right,UNI_TEX,Undefined,1,Bottom,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.46881,-2.046169,-3.45309,2202.206984,246.632292,02:15:00,5.93436,2.57382,6.6458,-29.42612,8.08622,15.76969,1.60498,0.72327,77.9177,-7.584038,-0.584177,0.440817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.39477,5.24709,-2.34669,50,5.78414,6.91603,-124.00291,-5.26989,-14.50613,26.72719,-24.07221,UNI_TEX,LUB_CHR,IrwinField,D2,LS,20260201-IrwinField-1,898d9420-ffa1-11f0-b4a5-c7300855c88a,85.50583,NA,NA,7.55111,NA,NA,NA,NA,NA,NA,6ab2660b-b41a-46ed-b290-cd7db0dc5268,2026-02-01,19:09:30,2026-02-01T19:09:30Z,2026-02-01T19:09:30Z,NA,v3,NA,NA,NA,"De Los Santos, Jorge",1000356249,Right,LUB_CHR,3769b9b5-6cdf-4c8b-8438-317a189b90b7,53.85649,-124.83136,13.36359,5.93592,-4.52374,-12.03611,-2.56803,7.36567,-7.25306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
