player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-07,13:04:01,1,1,"Naranjo, Jordan",1000083675,Right,STU_BOB,"Savarese, Anthony",10105525,Right,BRE_COL1,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.83026,-1.696931,-2.677474,1980.293437,200.647141,12:45:00,6.15671,1.04779,5.78622,-21.79552,15.73229,5.44532,2.7595,-0.99122,78.91026,-5.799061,-1.70334,0.440908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.55248,8.89571,-0.8302,50,6.00371,5.65232,-125.8327,-4.40287,-5.65796,27.11992,-18.00609,STU_BOB,BRE_COL1,PaulDemieMainieriField,NAIA,TSC,20260207-PaulDemieMainieriField-1,626c2ca0-044f-11f1-b86d-5f9faf8d4d1a,85.48817,NA,NA,7.92001,NA,NA,NA,NA,NA,NA,e7d7fce2-f250-4e5c-80cd-445e160e1a6b,2026-02-07,18:04:01,2026-02-07T18:04:01Z,2026-02-07T18:04:01Z,NA,v3,NA,NA,NA,"Novoa, Eddie",1000097606,Right,STU_BOB,a4c33603-6bf9-4dd4-880b-10b8fcf3abab,54.71046,-126.84386,13.55996,6.15536,-3.73153,-9.00304,-1.04488,5.86327,-2.82898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-07,13:04:17,1,2,"Naranjo, Jordan",1000083675,Right,STU_BOB,"Savarese, Anthony",10105525,Right,BRE_COL1,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.08252,-3.547045,-1.143029,2107.518976,199.000383,12:45:00,6.2196,0.95455,5.65354,-19.033080000000002,18.37092,5.89422,1.32044,0.37954,79.54916,-7.122126,-0.089414,0.44018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.34358,10.74406,-0.86162,50,5.90687,2.27219,-126.18748,-8.40742,-5.37132,26.5617,-14.9142,STU_BOB,BRE_COL1,PaulDemieMainieriField,NAIA,TSC,20260207-PaulDemieMainieriField-1,6b840e20-044f-11f1-b86d-5f9faf8d4d1a,85.62956,NA,NA,7.53335,NA,NA,NA,NA,NA,NA,e7d7fce2-f250-4e5c-80cd-445e160e1a6b,2026-02-07,18:04:17,2026-02-07T18:04:17Z,2026-02-07T18:04:17Z,NA,v3,NA,NA,NA,"Novoa, Eddie",1000097606,Right,STU_BOB,bebe291c-26f9-4325-90b6-fb84cec4afae,54.84614,-127.20348,13.28085,6.21754,-7.83695,-7.4571,-0.95246,2.47764,-2.68566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-07,13:04:35,1,3,"Naranjo, Jordan",1000083675,Right,STU_BOB,"Savarese, Anthony",10105525,Right,BRE_COL1,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,78.62691,0.190646,-1.314776,2226.21876,34.07123,07:15:00,5.93568,1.38805,5.10028,-53.37656,-7.093,-5.70453,1.66733,-0.32648,72.92138,-9.412038,-2.32592,0.489649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5054,-3.2165,-1.25925,50,5.91132,2.85034,-114.22352,-1.53931,3.32568,20.10459,-36.44367,STU_BOB,BRE_COL1,PaulDemieMainieriField,NAIA,TSC,20260207-PaulDemieMainieriField-1,76808e20-044f-11f1-b86d-5f9faf8d4d1a,76.97848,NA,NA,5.70553,NA,NA,NA,NA,NA,NA,e7d7fce2-f250-4e5c-80cd-445e160e1a6b,2026-02-07,18:04:35,2026-02-07T18:04:35Z,2026-02-07T18:04:35Z,NA,v3,NA,NA,NA,"Novoa, Eddie",1000097606,Right,STU_BOB,e421ff7c-28ac-42f8-b7a1-d075d78d32df,55.403,-115.17058,10.0523,5.94339,0.17743,-18.22183,-1.38983,2.69368,1.66284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-07,13:04:50,1,4,"Naranjo, Jordan",1000083675,Right,STU_BOB,"Savarese, Anthony",10105525,Right,BRE_COL1,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.07142,-0.520583,-2.18361,2339.865514,34.772783,07:15:00,5.84858,1.31635,5.27402,-53.44924,-7.96225,-6.42843,0.90513,-1.2713699999999999,73.55686,-10.135187,-3.326371,0.485417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66925,-3.52969,-1.11182,50,5.76105,4.63102,-114.85785,-2.92856,3.58327,20.2955,-36.91238,STU_BOB,BRE_COL1,PaulDemieMainieriField,NAIA,TSC,20260207-PaulDemieMainieriField-1,7fa84e20-044f-11f1-b86d-5f9faf8d4d1a,77.64959,NA,NA,5.51457,NA,NA,NA,NA,NA,NA,e7d7fce2-f250-4e5c-80cd-445e160e1a6b,2026-02-07,18:04:50,2026-02-07T18:04:50Z,2026-02-07T18:04:50Z,NA,v3,NA,NA,NA,"Novoa, Eddie",1000097606,Right,STU_BOB,f82d524c-e541-46ad-ba9b-a1417ca75d23,55.22987,-115.77829,10.14775,5.8559,-1.25452,-18.45619,-1.31816,4.46852,1.79163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-07,13:05:09,1,5,"Naranjo, Jordan",1000083675,Right,STU_BOB,"Savarese, Anthony",10105525,Right,BRE_COL1,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,87.47191,-3.006402,-2.286695,2087.587515,178.829947,12:00:00,6.12934,0.87931,5.78546,-17.69332,19.10788,-0.36583,1.85307,-1.27975,80.04109,-6.347781,-2.352144,0.436619,89.18303,1.33e-4,1.35543,1902.713997,NA,NA,NA,33.95261,33.26946,3.509956,0.261703,-0.45508,10.96989,-0.69052,50,5.87067,5.07817,-126.79312,-7.18478,-0.74007,26.16928,-14.3341,STU_BOB,BRE_COL1,PaulDemieMainieriField,NAIA,TSC,20260207-PaulDemieMainieriField-1,8a85ad60-044f-11f1-b86d-5f9faf8d4d1a,86.32802,1.78715,NA,7.43082,NA,NA,NA,0.8948,1.78715,1.29983,e7d7fce2-f250-4e5c-80cd-445e160e1a6b,2026-02-07,18:05:09,2026-02-07T18:05:09Z,2026-02-07T18:05:09Z,GroundBall,v3,NA,NA,NA,"Novoa, Eddie",1000097606,Right,STU_BOB,932de4e8-f56e-495e-bfb0-0999512e7cd3,54.714,-127.76236,13.08464,6.12694,-6.65389,-7.16705,-0.87911,5.10558,-0.37003,0.149469,0.8962,130.69378,-17.69002,NA,NA,NA,NA,NA,NA,1.7905,-0.1701,-25.54114,NA,NA,NA,NA,NA,NA,1.29986,3.09206,-0.44471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-07,13:05:47,2,1,"Naranjo, Jordan",1000083675,Right,STU_BOB,"Gibson, Marquette",1000172413,Right,BRE_COL1,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.02035,-3.354391,-2.173874,2125.775713,207.575277,01:00:00,6.12527,0.9792,5.68629,-20.76237,16.59528,8.02559,1.26266,-0.37922,79.65125,-7.235375,-0.739245,0.439907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.70425,9.75623,-0.80136,50,5.82965,4.45053,-126.08449,-8.04745,-7.56302,25.94452,-16.489,STU_BOB,BRE_COL1,PaulDemieMainieriField,NAIA,TSC,20260207-PaulDemieMainieriField-1,a1592ee0-044f-11f1-b86d-5f9faf8d4d1a,85.68271,NA,NA,7.3691,NA,NA,NA,NA,NA,NA,e7d7fce2-f250-4e5c-80cd-445e160e1a6b,2026-02-07,18:05:47,2026-02-07T18:05:47Z,2026-02-07T18:05:47Z,NA,v3,NA,NA,NA,"Novoa, Eddie",1000097606,Right,STU_BOB,3d5679c5-f678-49ed-bd72-f6464bb2a3fb,54.81312,-127.07103,12.97226,6.12373,-7.42046,-8.2445,-0.97606,4.73811,-3.78151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-07,13:06:01,2,2,"Naranjo, Jordan",1000083675,Right,STU_BOB,"Gibson, Marquette",1000172413,Right,BRE_COL1,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,Popup,Single,0,0,NA,87.84533,-1.949956,-1.284604,2128.195593,201.898777,12:45:00,6.06662,1.12519,5.78664,-20.62741,15.47902,5.79071,2.5324,0.41244,80.95705,-5.806285,-0.247156,0.432478,77.63288,20.532231,-4.955405,2025.001204,109.9676,29.62941,-2.64707,231.11995,231.11995,2.524666,2.958523,-3.31484,8.75115,-1.02297,50,5.89348,2.62592,-127.6255,-5.00174,-5.50522,24.56176,-17.64025,STU_BOB,BRE_COL1,PaulDemieMainieriField,NAIA,TSC,20260207-PaulDemieMainieriField-1,a9a64650-044f-11f1-b86d-5f9faf8d4d1a,87.15467,30.22957,NA,6.88828,NA,NA,NA,1.97127,2.60134,-0.41507,e7d7fce2-f250-4e5c-80cd-445e160e1a6b,2026-02-07,18:06:01,2026-02-07T18:06:01Z,2026-02-07T18:06:01Z,LineDrive,v3,NA,NA,NA,"Novoa, Eddie",1000097606,Right,STU_BOB,2f08ddb0-6dfe-47b6-8acd-de1715eb6f74,54.71461,-128.52963,12.28088,6.06565,-4.35239,-8.82012,-1.12336,2.82857,-2.75261,221.672115,1.97129,106.22885,-17.15458,4.02321,-0.75924,0.10681,-0.00768,-6.6e-4,1.7e-4,2.60128,39.93776,-14.71956,0.03955,0.14426,-0.00149,-0.01977,0.00739,-8.6e-4,-0.41507,-9.2101,8.39809,-2.46292,0.60503,-0.12272,0.01913,-0.00177,5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-07,13:06:41,3,1,"Naranjo, Jordan",1000083675,Right,STU_BOB,"Guzman Diaz, Fred",10915749,Right,BRE_COL1,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,79.5115,1.575956,-2.239388,2237.008271,31.612631,07:00:00,5.80762,1.74446,5.39109,-49.22274,-4.2137,-3.43496,3.1842800000000002,-0.64171,73.09814,-7.376915,-2.849779,0.48286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10673,-2.10177,-1.5419,50,5.91383,4.65005,-115.37598,1.453,1.49383,21.19481,-35.01091,STU_BOB,BRE_COL1,PaulDemieMainieriField,NAIA,TSC,20260207-PaulDemieMainieriField-1,c1742d60-044f-11f1-b86d-5f9faf8d4d1a,78.0608,NA,NA,6.41336,NA,NA,NA,NA,NA,NA,e7d7fce2-f250-4e5c-80cd-445e160e1a6b,2026-02-07,18:06:41,2026-02-07T18:06:41Z,2026-02-07T18:06:41Z,NA,v3,NA,NA,NA,"Novoa, Eddie",1000097606,Right,STU_BOB,aa6ec05a-ebb6-4586-9da0-9ab1137442a0,55.10997,-116.31091,10.59741,5.81568,2.99736,-17.50546,-1.74557,4.58415,0.74692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-07,13:07:03,3,2,"Naranjo, Jordan",1000083675,Right,STU_BOB,"Guzman Diaz, Fred",10915749,Right,BRE_COL1,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.55827,-0.271935,-0.63773,2046.397,200.988416,12:45:00,6.09294,1.22673,5.54815,-20.87714,16.18402,5.73898,4.09904,1.109,79.60302,-4.200115,0.385691,0.438158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.06386,8.60721,-1.17532,50,6.05582,1.16008,-127.0494,-1.27133,-4.98637,27.07228,-18.16591,STU_BOB,BRE_COL1,PaulDemieMainieriField,NAIA,TSC,20260207-PaulDemieMainieriField-1,cee1ad60-044f-11f1-b86d-5f9faf8d4d1a,86.02475,NA,NA,7.95524,NA,NA,NA,NA,NA,NA,e7d7fce2-f250-4e5c-80cd-445e160e1a6b,2026-02-07,18:07:03,2026-02-07T18:07:03Z,2026-02-07T18:07:03Z,NA,v3,NA,NA,NA,"Novoa, Eddie",1000097606,Right,STU_BOB,0b1bea6e-b4f7-4470-a868-192fabb47d66,54.94861,-128.09953,13.53614,6.09147,-0.56668,-9.08295,-1.22408,1.3535,-2.49319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-07,13:07:25,3,3,"Naranjo, Jordan",1000083675,Right,STU_BOB,"Guzman Diaz, Fred",10915749,Right,BRE_COL1,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,86.29746,-1.154458,-0.927335,2048.91896,196.916931,12:30:00,6.13219,1.24002,5.54552,-20.02194,18.25497,5.15414,3.38451,0.80282,78.31432,-4.936791,-0.008242,0.445287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.86929,9.94166,-1.16316,50,6.01924,1.80212,-125.15521,-3.1363,-4.51817,26.96339,-16.51927,STU_BOB,BRE_COL1,PaulDemieMainieriField,NAIA,TSC,20260207-PaulDemieMainieriField-1,dba30ee0-044f-11f1-b86d-5f9faf8d4d1a,84.64755,NA,NA,7.98315,NA,NA,NA,NA,NA,NA,e7d7fce2-f250-4e5c-80cd-445e160e1a6b,2026-02-07,18:07:25,2026-02-07T18:07:25Z,2026-02-07T18:07:25Z,NA,v3,NA,NA,NA,"Novoa, Eddie",1000097606,Right,STU_BOB,256e794d-5116-4800-a762-5061dadb402b,54.9513,-126.21741,13.4817,6.12997,-2.48553,-8.25964,-1.23765,1.98011,-2.25908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
