player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2026-02-07,12:12:31,2,1,"McLamb, John Nelson",10274290,Left,MOU_OLV,"Zohn, Oliver",10323697,Right,LAN_BEA,Undefined,1,Bottom,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.56116,0.150171,3.353559,1994.303323,110.355109,09:45:00,5.44634,-2.11969,5.75027,-28.45887,9.10701,-21.30159,3.21481,-0.76926,79.00122,-5.139468,-0.454158,0.441132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.68666,4.97048,1.8537,50,5.4416,-6.44579,-125.55971,-0.62969,18.64969,25.50886,-24.24208,LAN_BEA,MOU_OLV,StephenBDolnyStadium,D2,NCAAPB,20260207-StephenBDolnyStadium-1,2fedb520-0448-11f1-b4cd-67983d8a3613,85.44488,NA,NA,7.55994,NA,NA,NA,NA,NA,NA,754075c6-774e-4cc3-af0f-78157b7424b2,2026-02-07,17:12:31,2026-02-07T17:12:31Z,2026-02-07T17:12:31Z,NA,v3,NA,NA,NA,"Tepatti, Connor",10137277,Right,MOU_OLV,fac879c2-4a72-493f-8461-d3e334e4264c,54.74833,-126.52071,12.75443,5.44812,0.28359,-12.12104,2.10977,-7.14838,9.32485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2026-02-07,12:12:48,2,2,"McLamb, John Nelson",10274290,Left,MOU_OLV,"Zohn, Oliver",10323697,Right,LAN_BEA,Undefined,1,Bottom,1,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.51517,3.952478,-0.540239,1923.952684,319.229655,04:45:00,5.28864,-2.06821,5.65186,-62.24429,-13.41142,13.0356,3.79399,-1.48579,69.29851,-7.435289,1.790373,0.502953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.69492,-7.3626,2.10592,50,5.58541,0.53675,-110.84864,5.56282,-8.22317,22.18654,-41.21732,LAN_BEA,MOU_OLV,StephenBDolnyStadium,D2,NCAAPB,20260207-StephenBDolnyStadium-1,39cfeb80-0448-11f1-b4cd-67983d8a3613,74.94225,NA,NA,7.21667,NA,NA,NA,NA,NA,NA,754075c6-774e-4cc3-af0f-78157b7424b2,2026-02-07,17:12:48,2026-02-07T17:12:48Z,2026-02-07T17:12:48Z,NA,v3,NA,NA,NA,"Tepatti, Connor",10137277,Right,MOU_OLV,9b3c6026-04ce-413c-b12f-5833e94e0796,54.84905,-111.81497,11.09327,5.30403,7.35804,-20.60866,2.07474,0.8949,-4.11158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2026-02-07,12:13:02,2,3,"McLamb, John Nelson",10274290,Left,MOU_OLV,"Zohn, Oliver",10323697,Right,LAN_BEA,Undefined,1,Bottom,1,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.16589,-0.012904,4.793133,1987.707871,110.64792,09:45:00,5.36905,-2.14547,5.99497,-28.87415,8.89268,-20.27659,2.95087,0.6169,78.41372,-5.402376,1.161507,0.44231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6891,4.96111,1.77777,50,5.35228,-9.62262,-124.77989,-0.95874,18.3815,25.71651,-24.37254,LAN_BEA,MOU_OLV,StephenBDolnyStadium,D2,NCAAPB,20260207-StephenBDolnyStadium-1,42a4d090-0448-11f1-b4cd-67983d8a3613,85.21728,NA,NA,7.75217,NA,NA,NA,NA,NA,NA,754075c6-774e-4cc3-af0f-78157b7424b2,2026-02-07,17:13:02,2026-02-07T17:13:02Z,2026-02-07T17:13:02Z,NA,v3,NA,NA,NA,"Tepatti, Connor",10137277,Right,MOU_OLV,e7f247b4-c959-4141-a681-e7cd4fc3b0f5,54.50322,-125.70455,12.85825,5.37099,-0.0824,-12.18627,2.13565,-10.28354,9.19075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2026-02-07,12:13:19,2,4,"McLamb, John Nelson",10274290,Left,MOU_OLV,"Zohn, Oliver",10323697,Right,LAN_BEA,Undefined,1,Bottom,1,2,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.04976,-2.196978,4.346821,1995.508564,107.273932,09:30:00,5.38323,-2.12871,5.84197,-30.40691,7.78048,-20.84462,0.80067,0.18172,78.47562,-7.827,0.615695,0.444766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.00438,4.99205,1.78683,50,5.18589,-8.62815,-124.57687,-5.79978,18.75383,26.40215,-24.37525,LAN_BEA,MOU_OLV,StephenBDolnyStadium,D2,NCAAPB,20260207-StephenBDolnyStadium-1,4c9cb1d0-0448-11f1-b4cd-67983d8a3613,84.74671,NA,NA,7.57414,NA,NA,NA,NA,NA,NA,754075c6-774e-4cc3-af0f-78157b7424b2,2026-02-07,17:13:19,2026-02-07T17:13:19Z,2026-02-07T17:13:19Z,NA,v3,NA,NA,NA,"Tepatti, Connor",10137277,Right,MOU_OLV,7ab43479-5741-4cd7-98fd-139b5b3584ee,54.65824,-125.56023,13.20107,5.385,-4.89191,-12.18763,2.1212,-9.32664,9.37692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2026-02-07,12:13:35,2,5,"McLamb, John Nelson",10274290,Left,MOU_OLV,"Zohn, Oliver",10323697,Right,LAN_BEA,Undefined,1,Bottom,1,3,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,86.26852,-0.815382,4.072867,1995.347572,105.424937,09:30:00,5.36811,-2.0676,5.87396,-30.83254,7.17583,-21.21572,2.03944,-0.04635,78.25196,-6.549668,0.273745,0.443722,71.73564,48.302842,-30.678731,NA,93.78564,90.40024,-57.4825,211.74015,193.19956,-32.506426,4.965645,12.16564,4.28591,1.75046,50,5.28415,-8.03837,-124.97842,-2.80259,19.0544,27.47713,-25.46127,LAN_BEA,MOU_OLV,StephenBDolnyStadium,D2,NCAAPB,20260207-StephenBDolnyStadium-1,5613f160-0448-11f1-b4cd-67983d8a3613,84.94606,91.31108,NA,8.01656,NA,NA,NA,2.37722,2.16773,0.0623,754075c6-774e-4cc3-af0f-78157b7424b2,2026-02-07,17:13:35,2026-02-07T17:13:35Z,2026-02-07T17:13:35Z,FlyBall,v3,NA,NA,NA,"Tepatti, Connor",10137277,Right,MOU_OLV,8c1cc003-7589-4810-b8d7-8c7bef6e3b6d,54.62588,-125.99133,13.73856,5.37017,-1.86398,-12.73064,2.05973,-8.74079,9.5272,174.486688,2.37943,60.1409,-13.11879,3.0581,-0.25597,-0.08841,0.03251,-0.00416,1.9e-4,2.16697,78.56871,-19.46,1.25996,-0.15202,-0.0215,0.01692,-0.00315,1.9e-4,0.06093,-35.67852,6.42775,-1.3925399999999999,0.0854,0.05161,-0.01662,0.00201,-9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,2026-02-07,12:40:23,3,1,"McLamb, John Nelson",10274290,Left,MOU_OLV,"Zohn, Oliver",10323697,Right,LAN_BEA,Undefined,3,Bottom,1,0,0,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.99309,0.682485,6.557252,841.313785,53.875441,07:45:00,5.19468,-2.11268,6.28529,-52.22507,-6.66508,-11.02493,1.47575,3.03834,71.95689,-8.903739,4.580854,0.485806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67957,-3.54524,1.63325,50,5.21893,-12.61259,-112.80597,-0.15234,9.91555,20.13257,-36.75152,LAN_BEA,MOU_OLV,StephenBDolnyStadium,D2,NCAAPB,20260207-StephenBDolnyStadium-1,1468bcb0-044c-11f1-b4cd-67983d8a3613,77.58735,NA,NA,6.0362,NA,NA,NA,NA,NA,NA,754075c6-774e-4cc3-af0f-78157b7424b2,2026-02-07,17:40:23,2026-02-07T17:40:23Z,2026-02-07T17:40:23Z,NA,v3,NA,NA,NA,"Tepatti, Connor",10137277,Right,MOU_OLV,73e45b2e-62b5-4fae-a18b-ef13393760ba,54.2188,-113.5564,10.06629,5.19907,1.21756,-18.37576,2.11027,-12.98219,4.95778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,2026-02-07,12:40:58,3,2,"McLamb, John Nelson",10274290,Left,MOU_OLV,"Zohn, Oliver",10323697,Right,LAN_BEA,Undefined,3,Bottom,1,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,82.51576,0.544474,4.413628,1954.768024,98.819357,09:15:00,5.2918,-1.90267,5.93903,-37.00262,4.6911,-20.4667,2.71486,0.49421,74.40386,-6.339665,0.747923,0.464736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.79205,2.71311,1.56115,50,5.31494,-8.38886,-119.41091,-0.0559,16.78059,26.08886,-28.3132,LAN_BEA,MOU_OLV,StephenBDolnyStadium,D2,NCAAPB,20260207-StephenBDolnyStadium-1,29736510-044c-11f1-b4cd-67983d8a3613,81.10498,NA,NA,8.11189,NA,NA,NA,NA,NA,NA,754075c6-774e-4cc3-af0f-78157b7424b2,2026-02-07,17:40:58,2026-02-07T17:40:58Z,2026-02-07T17:40:58Z,NA,v3,NA,NA,NA,"Tepatti, Connor",10137277,Right,MOU_OLV,ef76dbaf-9ed8-47e4-961b-b7df627b4624,54.55793,-120.40261,13.04443,5.29661,1.02035,-14.1566,1.89215,-9.02672,8.3903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,2026-02-07,12:41:16,3,3,"McLamb, John Nelson",10274290,Left,MOU_OLV,"Zohn, Oliver",10323697,Right,LAN_BEA,Undefined,3,Bottom,1,1,1,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.26053,-0.827095,3.822733,914.301523,46.807725,07:30:00,5.20259,-2.31326,5.98467,-58.29279,-9.26323,-11.82323,-0.4235,0.24987,69.22765,-11.503898,1.692694,0.503965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.51209,-4.1478,2.01798,50,5.10455,-6.9709,-110.45166,-3.36696,9.05088,24.19876,-37.17147,LAN_BEA,MOU_OLV,StephenBDolnyStadium,D2,NCAAPB,20260207-StephenBDolnyStadium-1,340f9ca0-044c-11f1-b4cd-67983d8a3613,74.79176,NA,NA,7.03289,NA,NA,NA,NA,NA,NA,754075c6-774e-4cc3-af0f-78157b7424b2,2026-02-07,17:41:16,2026-02-07T17:41:16Z,2026-02-07T17:41:16Z,NA,v3,NA,NA,NA,"Tepatti, Connor",10137277,Right,MOU_OLV,83944d89-2a5b-42ad-8f03-36ee3266ba36,54.51655,-111.43679,12.09938,5.21082,-1.85371,-18.58574,2.30927,-7.33936,4.52544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,2026-02-07,12:43:00,3,4,"McLamb, John Nelson",10274290,Left,MOU_OLV,"Zohn, Oliver",10323697,Right,LAN_BEA,Undefined,3,Bottom,1,2,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.33253,0.507175,3.688247,2003.458774,105.56574,09:30:00,5.24031,-2.2275,5.82731,-32.03588,6.98933,-20.08828,3.04311,-0.46817,77.00215,-5.462434,0.093917,0.449618,70.68872,36.942022,166.929119,3737.445176,NA,NA,NA,NA,47.15716,NA,NA,11.4289,3.80327,1.93796,50,5.26302,-7.14193,-123.6097,0.0369,17.44791,27.69283,-26.36779,LAN_BEA,MOU_OLV,StephenBDolnyStadium,D2,NCAAPB,20260207-StephenBDolnyStadium-1,723e57f0-044c-11f1-b4cd-67983d8a3613,83.83209,30.13498,NA,8.33038,NA,NA,NA,1.12477,3.04772,0.47722,754075c6-774e-4cc3-af0f-78157b7424b2,2026-02-07,17:43:00,2026-02-07T17:43:00Z,2026-02-07T17:43:00Z,NA,v3,NA,NA,NA,"Tepatti, Connor",10137277,Right,MOU_OLV,ad261bb5-9e03-41ac-82d1-2ca66c63c9b5,54.67109,-124.65179,13.84642,5.24297,1.02913,-13.18389,2.21907,-7.7985,8.72396,2.849816,1.12477,-80.71592,5.35051,0.63838,-1.315,4.69157,-9.20692,9.07162,-3.57772,3.04772,62.31057,-31.35427,4.45035,-2.99315,8.51088,-16.16192,15.65903,-6.1084,0.47722,18.73993,-0.68805,-0.32081,0.47099,-1.61797,3.15606,-3.09839,1.21904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,2026-02-07,12:43:20,3,5,"McLamb, John Nelson",10274290,Left,MOU_OLV,"Zohn, Oliver",10323697,Right,LAN_BEA,Undefined,3,Bottom,1,2,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.61331,-1.302444,3.943936,2085.358522,109.873926,09:45:00,5.35744,-2.22604,5.99154,-29.38588,9.07166,-21.34883,1.69852,-0.34433,77.62838,-6.790925,0.110881,0.446336,69.06633,19.383207,162.43518,2143.204248,NA,NA,NA,132.54033,43.46426,163.838821,1.690854,12.18099,5.45835,1.92649,50,5.23847,-7.68968,-124.02391,-3.76181,18.77434,27.23151,-23.76122,LAN_BEA,MOU_OLV,StephenBDolnyStadium,D2,NCAAPB,20260207-StephenBDolnyStadium-1,7dbb5290-044c-11f1-b4cd-67983d8a3613,84.44853,14.22034,NA,7.98494,NA,NA,NA,1.05048,1.65674,0.24439,754075c6-774e-4cc3-af0f-78157b7424b2,2026-02-07,17:43:20,2026-02-07T17:43:20Z,2026-02-07T17:43:20Z,LineDrive,v3,NA,NA,NA,"Tepatti, Connor",10137277,Right,MOU_OLV,5f8fb6fd-825a-429f-bf79-f6dda388e958,54.5072,-125.00963,13.61576,5.35907,-2.90171,-11.88061,2.21713,-8.36926,9.38717,334.544006,0.86682,-89.54658,8.17852,NA,NA,NA,NA,NA,NA,2.08757,30.04173,-18.62469,NA,NA,NA,NA,NA,NA,0.38316,27.66283,-3.62893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
