player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2026-02-10,14:13:20,4,3,"Hartzog, Holton",10283454,Left,WIL_CAR,"Johnson, Alex",1000392678,Right,MIS_COL1,Undefined,1,Bottom,2,0,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,73.67122,0.792327,0.513099,2090.204175,290.758188,03:45:00,5.6397,-0.76153,5.24053,-57.71877,-4.03386,15.78284,1.57455,1.03596,66.86032,-9.703974,3.317518,0.527348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.65087,-1.62744,0.7024,50,5.6702,-1.56889,-106.75977,-0.43433,-8.65668,21.74577,-34.01544,MIS_COL1,WIL_CAR,FriersonField,D2,Team,20260210-FriersonField-1,f0a130f0-06bc-11f1-924d-b37367e3edf3,71.47542,NA,NA,6.8109,NA,NA,NA,NA,NA,NA,228f777b-2024-467c-93ce-38e49b2e8195,2026-02-10,20:13:20,2026-02-10T20:13:20Z,2026-02-10T20:13:20Z,NA,v3,NA,NA,NA,"Mark, Jayden",10302412,Right,WIL_CAR,78740b0d-b3bf-44f9-87a9-246117bc467d,55.25745,-107.82533,10.87288,5.65065,1.2324600000000001,-17.00772,0.76889,-1.1447,-4.32834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.81273,NA,NA,1.015015,NA,NA,NA,1.88767,4.45833,4.32019,79.17054,1.58753,-45.60924,1.89616,80.36825,-4.21166,4.47843,12.48538,-15.20165,4.29121,-56.51609,7.37224,High,High,High,NA,NA,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,2026-02-10,14:27:41,4,3,"Hartzog, Holton",10283454,Left,WIL_CAR,"Larocca, Jake",1000180755,Right,MIS_COL1,Undefined,2,Bottom,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,1,0,NA,70.76376,4.512468,-0.169248,2049.889437,300.248393,04:00:00,5.72464,-1.03264,5.40608,-61.43554,-4.17874,10.30304,4.84181,-0.33263,64.49645,-6.705183,1.660519,0.544609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.18299,-2.78016,1.04036,50,6.08438,-0.07337,-102.44321,6.17697,-5.4898,17.44281,-35.11877,MIS_COL1,WIL_CAR,FriersonField,D2,Team,20260210-FriersonField-1,f21e7030-06be-11f1-924d-b37367e3edf3,69.21007,NA,NA,6.26731,NA,NA,NA,NA,NA,NA,228f777b-2024-467c-93ce-38e49b2e8195,2026-02-10,20:27:41,2026-02-10T20:27:41Z,2026-02-10T20:27:41Z,NA,v3,NA,NA,NA,"Mark, Jayden",10302412,Right,WIL_CAR,d68b7884-16c6-42b2-bb6c-58b625e68808,55.09389,-103.3069,8.72141,5.73548,7.91589,-17.55939,1.03726,0.19846,-2.7449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.90331,2.099032,0.782797,1.316235,-1.97243,4.42012,0.23097,-1.40176,5.77888,1.74918,127.2814,3.40012,3.95077,-1.26546,110.16909,-9.60032,5.81359,14.8149,-12.67731,1.65094,-4.23273,4.61266,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,2026-02-10,14:43:31,4,3,"Hartzog, Holton",10283454,Left,WIL_CAR,"Johnson, Alex",1000392678,Right,MIS_COL1,Undefined,3,Bottom,2,0,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,70.34713,2.181721,-1.759969,2020.99611,289.762281,03:45:00,5.69694,-0.98916,5.73302,-60.04897,-3.1348,13.7204,2.72655,-1.48529,64.64586,-8.821018,0.697171,0.542977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.46638,-1.6515,1.12733,50,5.84205,2.66782,-102.11754,2.1337,-7.86567,17.1825,-33.91386,MIS_COL1,WIL_CAR,FriersonField,D2,Team,20260210-FriersonField-1,283dce70-06c1-11f1-924d-b37367e3edf3,69.4181,NA,NA,5.70127,NA,NA,NA,NA,NA,NA,228f777b-2024-467c-93ce-38e49b2e8195,2026-02-10,20:43:31,2026-02-10T20:43:31Z,2026-02-10T20:43:31Z,NA,v3,NA,NA,NA,"Mark, Jayden",10302412,Right,WIL_CAR,99e4cb14-c1d0-423f-902e-e1c0abc3bbf8,54.76805,-102.9167,8.59125,5.70613,3.71103,-16.95693,0.99474,3.03365,-3.93283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.34331,NA,NA,1.083398,NA,NA,NA,0.10208,4.16848,4.15477,81.47238,2.81896,-43.31022,0.10838,79.54006,-4.12059,4.19657,15.3358,-15.43623,4.10662,-52.92806,8.62685,High,High,High,NA,NA,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,2026-02-10,14:49:19,3,3,"Ballard, Taylor",1000295097,Left,MIS_COL1,"Senior, Cam",1000371864,Right,WIL_CAR,Undefined,4,Top,1,2,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,1,NA,85.83162,-1.538044,3.996847,2082.359598,137.746004,10:30:00,5.63654,-2.10491,6.27691,-20.60918,16.98639,-14.30205,2.49759,0.39339,78.24011,-5.4607,1.419261,0.441306,99.70925,21.221502,-9.693419,1688.264022,108.6979,37.99847,-16.87418,374.58481,372.48017,-7.050824,4.088611,8.60063,9.64233,1.81619,50,5.51258,-8.14757,-124.43709,-3.91099,13.44469,25.67676,-17.10094,MIS_COL1,WIL_CAR,FriersonField,D2,Team,20260210-FriersonField-1,f75da400-06c1-11f1-924d-b37367e3edf3,85.41113,51.40155,NA,7.59151,NA,NA,NA,1.21234,2.48259,-0.42198,228f777b-2024-467c-93ce-38e49b2e8195,2026-02-10,20:49:19,2026-02-10T20:49:19Z,2026-02-10T20:49:19Z,LineDrive,v3,NA,NA,NA,"Larocca, Jake",1000180755,Right,MIS_COL1,9bd09206-ee39-483f-9c93-be216360bdcc,54.2223,-125.3053,12.83838,5.63505,-3.33275,-8.55047,2.09938,-8.60218,6.72235,200.828942,1.21171,134.39425,-19.47906,4.0174,-0.89812,0.21307,-0.04534,0.00636,-3.8e-4,2.48368,52.90474,-15.49184,0.66017,0.04093,-0.06235,0.02309,-0.00359,2e-4,-0.42151,-22.96739,6.50548,-1.7555,0.36151,-0.05055,0.00464,-3.5e-4,2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,2026-02-10,14:50:01,4,1,"Ballard, Taylor",1000295097,Left,MIS_COL1,"McClean, Alan",10877872,Right,WIL_CAR,Undefined,4,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,74.21187,1.534173,1.643058,2354.11504,301.629396,04:00:00,5.51748,-2.20422,5.73744,-54.2542,-3.25079,7.8028,2.42582,-0.02358,68.3701,-8.393914,3.039926,0.514009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.51122,-1.59532,2.06258,50,5.61201,-3.37109,-107.7804,1.21353,-4.12901,18.78619,-34.05007,MIS_COL1,WIL_CAR,FriersonField,D2,Team,20260210-FriersonField-1,107744f0-06c2-11f1-924d-b37367e3edf3,73.33026,NA,NA,5.84177,NA,NA,NA,NA,NA,NA,228f777b-2024-467c-93ce-38e49b2e8195,2026-02-10,20:50:01,2026-02-10T20:50:01Z,2026-02-10T20:50:01Z,NA,v3,NA,NA,NA,"Larocca, Jake",1000180755,Right,MIS_COL1,a7307ba9-f595-4792-9fee-4928e20d1bb6,54.76322,-108.60746,9.3931,5.52558,2.71258,-17.02503,2.20699,-3.18931,-2.0645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,2026-02-10,14:50:16,4,2,"Ballard, Taylor",1000295097,Left,MIS_COL1,"McClean, Alan",10877872,Right,WIL_CAR,Undefined,4,Top,1,0,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,75.00119,-3.393707,5.039713,2330.312753,317.175148,04:30:00,5.46848,-2.31484,5.74726,-53.20924,-2.26028,3.67965,-2.14117,2.69594,69.31195,-12.971529,5.697113,0.513735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3363,0.09008,1.89266,50,5.1517,-9.67446,-108.33263,-8.0295,-0.39415,21.35215,-32.06847,MIS_COL1,WIL_CAR,FriersonField,D2,Team,20260210-FriersonField-1,1981e000-06c2-11f1-924d-b37367e3edf3,73.36944,NA,NA,5.68924,NA,NA,NA,NA,NA,NA,228f777b-2024-467c-93ce-38e49b2e8195,2026-02-10,20:50:16,2026-02-10T20:50:16Z,2026-02-10T20:50:16Z,NA,v3,NA,NA,NA,"Larocca, Jake",1000180755,Right,MIS_COL1,caafd679-221c-4b93-83a9-d8e681e6258e,54.75587,-109.26598,10.67608,5.47205,-6.62771,-16.03424,2.31518,-9.65723,-0.19707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,2026-02-10,14:50:41,4,3,"Ballard, Taylor",1000295097,Left,MIS_COL1,"McClean, Alan",10877872,Right,WIL_CAR,Undefined,4,Top,1,0,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,73.44623,0.627954,1.716756,2313.701851,306.985277,04:15:00,5.39408,-2.10499,5.69651,-56.84814,-4.38193,8.07335,1.24222,0.16811,67.49677,-9.752003,3.162603,0.521328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59717,-1.9176,1.95568,50,5.41138,-3.48243,-106.62869,-0.57668,-4.11065,19.60637,-34.36539,MIS_COL1,WIL_CAR,FriersonField,D2,Team,20260210-FriersonField-1,28396c30-06c2-11f1-924d-b37367e3edf3,72.30078,NA,NA,5.94946,NA,NA,NA,NA,NA,NA,228f777b-2024-467c-93ce-38e49b2e8195,2026-02-10,20:50:41,2026-02-10T20:50:41Z,2026-02-10T20:50:41Z,NA,v3,NA,NA,NA,"Larocca, Jake",1000180755,Right,MIS_COL1,4bb7b88f-b215-4a97-a2c1-c3c2fa933627,54.804,-107.5084,9.80319,5.40266,0.96524,-17.1827,2.1078,-3.298,-2.05532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,2026-02-10,14:50:56,5,1,"Ballard, Taylor",1000295097,Left,MIS_COL1,"Ducksworth, Tyler",1000231205,Right,WIL_CAR,Undefined,4,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,85.88042,-1.924765,4.005906,2142.119596,141.976868,10:45:00,5.68967,-1.8206,6.24751,-20.92871,16.4541,-11.95552,2.16543,0.8837,78.81906,-5.882735,1.852553,0.440055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24878,9.40378,1.52787,50,5.53568,-8.25491,-124.52605,-4.77754,11.42951,24.03265,-17.34667,MIS_COL1,WIL_CAR,FriersonField,D2,Team,20260210-FriersonField-1,31a33e40-06c2-11f1-924d-b37367e3edf3,85.65385,NA,NA,7.06136,NA,NA,NA,NA,NA,NA,228f777b-2024-467c-93ce-38e49b2e8195,2026-02-10,20:50:56,2026-02-10T20:50:56Z,2026-02-10T20:50:56Z,NA,v3,NA,NA,NA,"Larocca, Jake",1000180755,Right,MIS_COL1,943b6f72-8c1e-4148-ad12-1e48ef9bd8e3,54.25104,-125.34379,12.01633,5.6882,-4.1873,-8.67333,1.81537,-8.64381,5.71476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,2026-02-10,14:51:10,5,2,"Ballard, Taylor",1000295097,Left,MIS_COL1,"Ducksworth, Tyler",1000231205,Right,WIL_CAR,Undefined,4,Top,1,1,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,74.74442,0.65202,2.434982,2375.747934,279.776456,03:15:00,5.24324,-2.34597,5.61801,-50.34751,0.49874,6.6967,1.65671,0.48594,68.51227,-8.560775,3.630147,0.513217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.67382,0.55291,2.13368,50,5.26658,-4.85549,-108.42118,-0.33512,-3.16222,20.09795,-31.52013,MIS_COL1,WIL_CAR,FriersonField,D2,Team,20260210-FriersonField-1,39f14010-06c2-11f1-924d-b37367e3edf3,73.44352,NA,NA,6.23215,NA,NA,NA,NA,NA,NA,228f777b-2024-467c-93ce-38e49b2e8195,2026-02-10,20:51:10,2026-02-10T20:51:10Z,2026-02-10T20:51:10Z,NA,v3,NA,NA,NA,"Larocca, Jake",1000180755,Right,MIS_COL1,f5beac58-449d-4d04-a162-c06119005190,54.88104,-109.32223,10.04897,5.24993,1.07802,-15.76007,2.3481900000000002,-4.71371,-1.58111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,2026-02-10,14:51:35,5,3,"Ballard, Taylor",1000295097,Left,MIS_COL1,"Ducksworth, Tyler",1000231205,Right,WIL_CAR,Undefined,4,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,86.66338,-1.170183,2.494188,2219.736735,147.189719,11:00:00,5.65726,-1.84998,6.23059,-16.9467,20.04127,-12.10965,3.16429,-0.5566,78.63943,-4.441254,0.309337,0.437725,71.86694,23.048456,162.858654,1903.784265,NA,NA,NA,NA,44.17911,NA,NA,7.02973,11.11477,1.66955,50,5.56133,-5.00179,-125.77112,-2.99934,11.17604,27.28695,-14.50352,MIS_COL1,WIL_CAR,FriersonField,D2,Team,20260210-FriersonField-1,486b2700-06c2-11f1-924d-b37367e3edf3,86.10979,17.16041,NA,8.02394,NA,NA,NA,-0.02745,3.06746,0.61944,228f777b-2024-467c-93ce-38e49b2e8195,2026-02-10,20:51:35,2026-02-10T20:51:35Z,2026-02-10T20:51:35Z,NA,v3,NA,NA,NA,"Larocca, Jake",1000180755,Right,MIS_COL1,d7e7e7f5-ad26-486e-8fae-a1d6b122e781,54.26738,-126.69358,13.64347,5.65444,-2.50904,-7.25176,1.84503,-5.37961,5.58802,326.430669,-0.03135,-92.57348,8.47659,NA,NA,NA,NA,NA,NA,3.08284,40.83319,-23.79915,NA,NA,NA,NA,NA,NA,0.62597,28.40165,-5.81969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
