player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-13,13:58:55,1,1,"Ladd, Raymond",811685,Right,RAD_HIG,"Rodriguez, Damian",1000224691,Right,ION_GAE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.44947,-1.200467,-3.32781,2254.296194,209.531591,01:00:00,5.78841,2.63574,7.28462,-16.803,14.63686,7.77926,3.30071,0.27164,84.30522,-4.445991,-1.897591,0.403563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.02591,8.49004,-2.44978,50,5.71536,7.46083,-133.00798,-3.16892,-9.0812,26.22245,-16.83359,RAD_HIG,ION_GAE,CarterMemorial,D1,BSOU,20260213-CarterMemorial-1,0c0c97a0-090e-11f1-8370-55f46dfb4c4f,93.39907,NA,NA,7.14426,NA,NA,NA,NA,NA,NA,c2eac98c-e3d0-4727-8c1a-655303985d10,2026-02-13,18:58:55,2026-02-13T18:58:55Z,2026-02-13T18:58:55Z,NA,v3,471417,471322,8b61435e3af0413a96466ae3885c5454,"Sparrer, Tyler",815729,Right,RAD_HIG,e1fde885-7f59-42cf-87f2-31927a523f2b,53.21577,-133.64047,13.11122,5.7869,-2.76289,-8.41679,-2.63238,7.67987,-4.5406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-13,13:59:07,1,2,"Ladd, Raymond",811685,Right,RAD_HIG,"Rodriguez, Damian",1000224691,Right,ION_GAE,Undefined,1,Top,0,0,1,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,82.48971,-0.024628,-2.316012,2189.358781,55.495436,07:45:00,5.59513,2.66516,6.63262,-41.63908,-2.30323,-4.83512,2.10265,0.1406,76.99918,-7.736922,-3.19605,0.451404,68.14511,-43.677767,42.560487,NA,NA,NA,NA,2.85249,2.85249,27.78468,0.029446,2.01173,-0.91642,-2.50656,50,5.57645,5.02087,-120.11374,-1.26532,2.97965,20.24757,-33.53141,RAD_HIG,ION_GAE,CarterMemorial,D1,BSOU,20260213-CarterMemorial-1,1321cb50-090e-11f1-8370-55f46dfb4c4f,83.50043,2.03892,NA,5.49054,NA,NA,NA,0.95085,2.03892,-0.11454,c2eac98c-e3d0-4727-8c1a-655303985d10,2026-02-13,18:59:07,2026-02-13T18:59:07Z,2026-02-13T18:59:07Z,GroundBall,v3,471417,471322,8b61435e3af0413a96466ae3885c5454,"Sparrer, Tyler",815729,Right,RAD_HIG,8155fd00-f3e0-42e2-8846-99eaf12060f1,53.87105,-120.76452,10.12379,5.5998,-0.18759,-16.76571,-2.66639,4.9251,1.48983,NA,0.95006,53.41072,NA,NA,NA,NA,NA,NA,NA,2.03995,-69.24147,NA,NA,NA,NA,NA,NA,NA,-0.11527,49.04574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-13,13:59:39,2,1,"Ladd, Raymond",811685,Right,RAD_HIG,"Acevedo, Tyler",1000142272,Right,ION_GAE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.36061,-1.554156,-2.538138,2299.65114,196.560702,12:30:00,5.86334,2.63694,6.87674,-16.61052,16.3006,4.54418,3.06107,0.70106,82.79284,-4.757481,-1.708351,0.412898,78.61291,60.354859,39.715048,5333.043652,59.24343,112.06516,92.6834,164.47427,70.80173,59.729948,5.402085,-3.12977,9.42544,-2.47745,50,5.75839,5.65856,-131.36111,-3.97031,-5.47331,27.60766,-15.69098,RAD_HIG,ION_GAE,CarterMemorial,D1,BSOU,20260213-CarterMemorial-1,266e9710-090e-11f1-8370-55f46dfb4c4f,91.28755,118.33413,NA,7.56777,NA,NA,NA,0.89318,2.96422,-0.72409,c2eac98c-e3d0-4727-8c1a-655303985d10,2026-02-13,18:59:39,2026-02-13T18:59:39Z,2026-02-13T18:59:39Z,Popup,v3,471417,471322,8b61435e3af0413a96466ae3885c5454,"Sparrer, Tyler",815729,Right,RAD_HIG,edb3540b-c5fe-4b16-8502-da2bd1a1a5ee,53.62412,-132.12058,13.80383,5.86167,-3.53866,-7.84549,-2.63519,5.80913,-2.73666,201.741828,0.88631,43.91481,-17.83239,5.12549,-0.48681,-0.27511,0.1179,-0.01781,9.6e-4,2.94556,100.55806,-27.95776,4.65851,-1.69196,0.50132,-0.08602,0.00718,-2.1e-4,-0.72775,36.52279,-3.12648,0.62544,-0.40286,0.20237,-0.05337,0.00696,-3.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-13,14:00:01,2,2,"Ladd, Raymond",811685,Right,RAD_HIG,"Acevedo, Tyler",1000142272,Right,ION_GAE,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.98999,-1.206709,-2.846451,2172.551722,213.051305,01:00:00,5.88724,2.59591,6.72541,-18.39599,14.92253,9.04997,3.24984,0.74641,82.57015,-4.726597,-1.19887,0.415446,74.04926,10.775086,167.670947,2713.396111,NA,NA,NA,117.23872,46.85196,171.493617,1.222442,-5.55028,8.52705,-2.411,50,5.79997,6.16377,-130.79426,-3.23817,-9.64774,26.6971,-17.352,RAD_HIG,ION_GAE,CarterMemorial,D1,BSOU,20260213-CarterMemorial-1,33819b00-090e-11f1-8370-55f46dfb4c4f,90.72772,8.33687,NA,7.41984,NA,NA,NA,0.2204,3.08279,-0.71974,c2eac98c-e3d0-4727-8c1a-655303985d10,2026-02-13,19:00:01,2026-02-13T19:00:01Z,2026-02-13T19:00:01Z,GroundBall,v3,471417,471322,8b61435e3af0413a96466ae3885c5454,"Sparrer, Tyler",815729,Right,RAD_HIG,79bc3b0f-86ee-4fa9-b108-8e1540d6dc51,53.77507,-131.56255,13.34855,5.88597,-2.73881,-8.676,-2.59237,6.44142,-4.82387,293.940078,0.19075,-103.89355,7.28705,NA,NA,NA,NA,NA,NA,3.18454,19.16881,-17.87431,NA,NA,NA,NA,NA,NA,-0.6382,21.8587,-5.8974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-13,14:00:19,2,3,"Ladd, Raymond",811685,Right,RAD_HIG,"Acevedo, Tyler",1000142272,Right,ION_GAE,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.97868,-1.903666,-3.70796,2153.652275,209.354147,01:00:00,5.90406,2.41635,6.82107,-17.95469,14.5865,7.6452,2.66686,-0.334,83.54685,-5.338471,-2.315658,0.410571,82.01901,33.166667,70.951692,4411.981039,NA,NA,NA,NA,83.86167,NA,NA,-5.04811,8.55725,-2.17989,50,5.77425,8.27538,-132.09598,-4.86239,-8.95391,27.12664,-16.99594,RAD_HIG,ION_GAE,CarterMemorial,D1,BSOU,20260213-CarterMemorial-1,3e071640-090e-11f1-8370-55f46dfb4c4f,91.80492,46.19452,NA,7.43183,NA,NA,NA,-0.01832,2.47471,0.47982,c2eac98c-e3d0-4727-8c1a-655303985d10,2026-02-13,19:00:19,2026-02-13T19:00:19Z,2026-02-13T19:00:19Z,NA,v3,471417,471322,8b61435e3af0413a96466ae3885c5454,"Sparrer, Tyler",815729,Right,RAD_HIG,e04b619b-48c9-46ca-acc0-de2a70770019,53.6794,-132.84941,13.56332,5.90275,-4.39033,-8.49797,-2.41319,8.52407,-4.47696,NA,-0.01832,32.86427,-16.77297,3.54566,-0.70513,-0.0874,0.26442,-0.17793,0.04605,2.47471,65.81018,-21.40778,2.0591,-0.4055,0.08385,-0.02047,0.00633,-0.00126,0.47982,95.18225,-7.6443,0.6257,-0.11388,0.15148,-0.1902,0.11858,-0.0302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-13,14:00:34,2,4,"Ladd, Raymond",811685,Right,RAD_HIG,"Acevedo, Tyler",1000142272,Right,ION_GAE,Undefined,1,Top,1,0,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,81.5887,1.000985,-1.680147,2204.08693,80.283662,08:45:00,5.70411,2.7648,6.53395,-41.95746,-0.99705,-13.11013,3.12635,0.13066,74.94624,-6.810843,-4.060479,0.460631,66.80259,22.528716,154.911767,3799.043691,-103.3105,15.42711,37.77451,147.81858,48.34406,161.706675,1.973994,6.40863,-0.4298,-2.64303,50,5.75589,3.94014,-118.64852,0.84133,9.11333,23.2141,-32.78525,RAD_HIG,ION_GAE,CarterMemorial,D1,BSOU,20260213-CarterMemorial-1,46edae90-090e-11f1-8370-55f46dfb4c4f,81.82776,19.51101,NA,6.64246,NA,NA,NA,0.52945,3.12864,-0.2618,c2eac98c-e3d0-4727-8c1a-655303985d10,2026-02-13,19:00:34,2026-02-13T19:00:34Z,2026-02-13T19:00:34Z,LineDrive,v3,471417,471322,8b61435e3af0413a96466ae3885c5454,"Sparrer, Tyler",815729,Right,RAD_HIG,9e7f68a1-23e6-4620-9854-29dcae3e3e2a,53.96786,-119.42233,11.60705,5.70963,1.93418,-16.39263,-2.76931,3.63636,4.5566700000000004,NA,0.52949,-81.96569,4.49621,0.40235,0.28243,-0.48305,0.3546,-0.12032,0.01546,3.12864,37.53952,-23.31762,2.4128,-0.4921,0.12409,-0.03839,0.01398,-0.00234,-0.26183,38.3764,-9.4467,1.64134,-0.73516,0.54835,-0.33852,0.11421,-0.01513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-13,14:00:54,2,5,"Ladd, Raymond",811685,Right,RAD_HIG,"Acevedo, Tyler",1000142272,Right,ION_GAE,Undefined,1,Top,1,0,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,83.23882,0.957566,-1.892736,2176.508902,85.153716,08:45:00,5.6617,2.49751,6.56564,-39.5762,0.00197,-15.1054,3.24209,-0.49706,75.94812,-6.43538,-4.635276,0.452791,71.09176,14.541127,160.251389,2857.891236,NA,NA,NA,119.71312,47.19773,162.896217,1.3834090000000001,7.36705,0.08618,-2.36137,50,5.71128,4.53858,-120.9669,0.85139,10.81028,25.73343,-32.04761,RAD_HIG,ION_GAE,CarterMemorial,D1,BSOU,20260213-CarterMemorial-1,5322d5a0-090e-11f1-8370-55f46dfb4c4f,83.24441,10.77189,NA,7.2907,NA,NA,NA,0.44891,3.04836,0.44694,c2eac98c-e3d0-4727-8c1a-655303985d10,2026-02-13,19:00:54,2026-02-13T19:00:54Z,2026-02-13T19:00:54Z,LineDrive,v3,471417,471322,8b61435e3af0413a96466ae3885c5454,"Sparrer, Tyler",815729,Right,RAD_HIG,13193c75-167d-4d54-b364-9733346f2fbb,53.93542,-121.80121,12.86672,5.66683,1.89041,-16.0238,-2.50283,4.1881,5.40514,316.400912,0.37891,-94.27832,8.19593,NA,NA,NA,NA,NA,NA,3.27963,23.84927,-19.05912,NA,NA,NA,NA,NA,NA,0.57073,32.83862,-5.69326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-13,14:01:11,2,6,"Ladd, Raymond",811685,Right,RAD_HIG,"Acevedo, Tyler",1000142272,Right,ION_GAE,Undefined,1,Top,1,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.2466,0.228182,-3.660323,2129.029368,127.310013,10:15:00,5.64828,2.67046,6.7648,-29.6838,7.22248,-8.15512,3.38345,-1.35654,78.97483,-5.336188,-5.141744,0.437242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39925,4.09921,-2.42831,50,5.65189,8.21179,-123.90019,-0.33281,5.33479,22.52958,-25.74075,RAD_HIG,ION_GAE,CarterMemorial,D1,BSOU,20260213-CarterMemorial-1,5d675040-090e-11f1-8370-55f46dfb4c4f,86.20503,NA,NA,6.27176,NA,NA,NA,NA,NA,NA,c2eac98c-e3d0-4727-8c1a-655303985d10,2026-02-13,19:01:11,2026-02-13T19:01:11Z,2026-02-13T19:01:11Z,NA,v3,471417,471322,8b61435e3af0413a96466ae3885c5454,"Sparrer, Tyler",815729,Right,RAD_HIG,63c71a67-bb38-44a5-8ad5-17abe284c2de,53.73631,-124.57773,11.26479,5.65026,0.44131,-12.87038,-2.67285,8.05135,2.6674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-13,14:01:25,2,7,"Ladd, Raymond",811685,Right,RAD_HIG,"Acevedo, Tyler",1000142272,Right,ION_GAE,Undefined,1,Top,1,1,2,Cutter,Slider,InPlay,Undefined,GroundBall,Single,0,0,NA,83.38672,0.234675,-2.389744,2099.36845,67.847568,08:15:00,5.49911,2.8388,6.47962,-41.08762,-2.14354,-7.90311,2.29083,-0.01544,77.37961,-7.368937,-3.823078,0.449151,84.60884,-15.082703,-29.843204,NA,NA,NA,NA,10.99231,3.45378,-25.36658,0.076611,3.56382,-0.90146,-2.66726,50,5.49738,5.33943,-121.33149,-0.74384,5.35365,22.02005,-33.52825,RAD_HIG,ION_GAE,CarterMemorial,D1,BSOU,20260213-CarterMemorial-1,659f8020-090e-11f1-8370-55f46dfb4c4f,83.91934,2.47953,NA,6.00711,NA,NA,NA,1.95198,2.47953,-0.13072,c2eac98c-e3d0-4727-8c1a-655303985d10,2026-02-13,19:01:25,2026-02-13T19:01:25Z,2026-02-13T19:01:25Z,GroundBall,v3,471417,471322,8b61435e3af0413a96466ae3885c5454,"Sparrer, Tyler",815729,Right,RAD_HIG,97057ef7-1a22-48e1-8ff1-64f01f7be50d,54.02379,-122.05957,11.01002,5.50365,0.36476,-16.76413,-2.84088,5.16241,2.67682,NA,1.94903,104.16878,NA,NA,NA,NA,NA,NA,NA,2.48045,-32.36508,NA,NA,NA,NA,NA,NA,NA,-0.12903,-59.76238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-13,14:02:17,3,1,"Ladd, Raymond",811685,Right,RAD_HIG,"Stephenson, Sean",1000397399,Left,ION_GAE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.42159,-0.495624,-5.155007,2240.271244,203.211677,12:45:00,5.69206,2.93812,7.03912,-16.14631,17.69044,7.10048,3.89443,-1.16607,81.13353,-3.646461,-3.86182,0.418664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.27201,9.8965,-2.62666,50,5.65576,11.41808,-129.5312,-1.46053,-8.90129,28.62905,-15.46475,RAD_HIG,ION_GAE,CarterMemorial,D1,BSOU,20260213-CarterMemorial-1,84214100-090e-11f1-8370-55f46dfb4c4f,90.03027,NA,NA,8.28806,NA,NA,NA,NA,NA,NA,c2eac98c-e3d0-4727-8c1a-655303985d10,2026-02-13,19:02:17,2026-02-13T19:02:17Z,2026-02-13T19:02:17Z,NA,v3,471417,471322,8b61435e3af0413a96466ae3885c5454,"Sparrer, Tyler",815729,Right,RAD_HIG,3aaa5d87-b667-4ac7-83b4-859cc38ec680,53.45759,-130.29315,14.31452,5.68916,-1.04894,-7.73238,-2.93371,11.65498,-4.45065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
